1,1,1,6,10
2,1,3,6,25
3,1,4,5,16
4,1,6,6,12
5,1,8,6,13
6,1,10,6,14
7,1,18,6,8
8,1,22,3,4
9,1,23,3,2
10,1,25,3,9
11,1,26,3,7
12,1,27,6,20
13,1,29,3,6
14,1,34,6,24
15,1,37,5,17
16,1,38,6,15
17,1,41,6,11
18,1,42,6,22
19,1,43,6,23
20,1,44,6,26
21,1,46,6,3
22,1,48,6,19
23,1,49,5,18
24,1,51,6,21
25,1,53,6,1
26,1,54,6,5
27,2,2,6,
28,2,3,6,
29,2,4,5,
30,2,6,6,
31,2,12,4,
32,2,15,4,
33,2,16,4,
34,2,17,4,
35,2,18,6,
36,2,21,3,
37,2,25,3,
38,2,27,6,
39,2,28,3,
40,2,29,3,
41,2,30,3,
42,2,31,6,
43,2,34,6,
44,2,35,6,
45,2,37,5,
46,2,43,6,
47,2,44,6,
48,2,47,6,
49,2,48,6,
50,2,49,5,
51,2,51,6,
52,3,2,6,
53,3,3,6,
54,3,4,5,
55,3,6,6,
56,3,12,4,
57,3,14,4,
58,3,15,4,
59,3,16,4,
60,3,17,4,
61,3,18,6,
62,3,21,1,
63,3,25,1,
64,3,29,1,
65,3,30,1,
66,3,31,6,
67,3,34,6,
68,3,35,6,
69,3,37,5,
70,3,43,6,
71,3,44,6,
72,3,47,6,
73,3,48,6,
74,3,49,5,
75,3,51,6,
76,4,2,6,
77,4,3,6,
78,4,4,5,
79,4,6,6,
80,4,12,4,
81,4,13,4,
82,4,14,4,
83,4,15,4,
84,4,16,4,
85,4,17,4,
86,4,18,6,
87,4,21,1,
88,4,25,1,
89,4,29,1,
90,4,30,1,
91,4,31,6,
92,4,34,6,
93,4,35,6,
94,4,37,5,
95,4,43,6,
96,4,44,6,
97,4,45,1,
98,4,47,6,
99,4,48,6,
100,4,49,5,
101,5,3,6,
102,5,4,5,
103,5,6,6,
104,5,12,4,
105,5,13,4,
106,5,14,4,
107,5,15,4,
108,5,17,4,
109,5,18,6,
110,5,21,1,
111,5,25,1,
112,5,29,1,
113,5,30,1,
114,5,34,6,
115,5,35,6,
116,5,37,5,
117,5,43,6,
118,5,44,6,
119,5,45,1,
120,5,47,6,
121,5,48,6,
122,5,49,5,
123,5,50,1,
124,6,2,6,
125,6,4,5,
126,6,5,6,
127,6,6,2,
128,6,9,6,
129,6,11,6,
130,6,12,6,
131,6,14,2,
132,6,19,6,
133,6,20,6,
134,6,24,2,
135,6,29,2,
136,6,31,6,
137,6,32,6,
138,6,33,2,
139,6,34,6,
140,6,35,6,
141,6,36,6,
142,6,37,5,
143,6,39,6,
144,6,40,6,
145,6,44,6,
146,6,47,6,
147,6,48,6,
148,6,49,5,
149,6,51,6,
150,6,52,2,
151,6,3,6,
